repo	family	line_no	category_guess	text
0xJacky/nginx-ui	AGENTS.md	26	test-before(E5)	- Run `gofmt`/`goimports` before committing backend changes
0xJacky/nginx-ui	AGENTS.md	31	test-before(E5)	- Validate changes with `go test ./... -race -cover` before pushing
0xJacky/nginx-ui	AGENTS.md	33	unclassified	- **All comments and documentation must be in English**
0xJacky/nginx-ui	AGENTS.md	48	unclassified	- Use functional and declarative programming patterns (avoid classes)
0xJacky/nginx-ui	AGENTS.md	51	unclassified	- Always use Vue Composition API with `<script setup>` syntax
0xJacky/nginx-ui	AGENTS.md	74	unclassified	- **Always use ESLint MCP after generating frontend code** to ensure code quality and consistency
0xJacky/nginx-ui	AGENTS.md	85	workspace(E4)	- Run `./version.sh` outside the sandbox to update the version, rebuild the frontend, and refresh generated artifacts that require network access.
0xJacky/nginx-ui	AGENTS.md	89	vcs-commit/push(E2/E5/E11)	- Do not commit the release note markdown file. Keep it untracked and use it directly for the tag annotation and GitHub Release body.
0xJacky/nginx-ui	AGENTS.md	90	vcs-commit/push(E2/E5/E11)	- Commit only the version-preparation artifacts with `chore: prepare vX.Y.Z`.
0xJacky/nginx-ui	AGENTS.md	97	unclassified	- **All code comments, documentation, and communication must be in English**
0xJacky/nginx-ui	AGENTS.md	100	unclassified	- 生成 find 命令的时候应该排除掉 ./.go/ 这个文件夹，因为那里面是 devcontainer 的依赖
0xJacky/nginx-ui	CLAUDE.md	26	test-before(E5)	- Run `gofmt`/`goimports` before committing backend changes
0xJacky/nginx-ui	CLAUDE.md	31	test-before(E5)	- Validate changes with `go test ./... -race -cover` before pushing
0xJacky/nginx-ui	CLAUDE.md	33	unclassified	- **All comments and documentation must be in English**
0xJacky/nginx-ui	CLAUDE.md	48	unclassified	- Use functional and declarative programming patterns (avoid classes)
0xJacky/nginx-ui	CLAUDE.md	51	unclassified	- Always use Vue Composition API with `<script setup>` syntax
0xJacky/nginx-ui	CLAUDE.md	74	unclassified	- **Always use ESLint MCP after generating frontend code** to ensure code quality and consistency
0xJacky/nginx-ui	CLAUDE.md	85	workspace(E4)	- Run `./version.sh` outside the sandbox to update the version, rebuild the frontend, and refresh generated artifacts that require network access.
0xJacky/nginx-ui	CLAUDE.md	89	vcs-commit/push(E2/E5/E11)	- Do not commit the release note markdown file. Keep it untracked and use it directly for the tag annotation and GitHub Release body.
0xJacky/nginx-ui	CLAUDE.md	90	vcs-commit/push(E2/E5/E11)	- Commit only the version-preparation artifacts with `chore: prepare vX.Y.Z`.
0xJacky/nginx-ui	CLAUDE.md	97	unclassified	- **All code comments, documentation, and communication must be in English**
